PLAYER,TEAM,MIN
Trae Young,ATL,2651.9
DeMar DeRozan,CHI,2742.9
Joel Embiid,PHI,2296.4
Jayson Tatum,BOS,2731.0
Nikola Jokic,DEN,2475.6
Giannis Antetokounmpo,MIL,2204.2
Luka Doncic,DAL,2300.7
Devin Booker,PHX,2344.6
Karl-Anthony Towns,MIN,2475.5
Donovan Mitchell,UTA,2265.6
LeBron James,LAL,2084.3
Kevin Durant,BKN,2047.4
Zach LaVine,CHI,2328.1
Stephen Curry,GSW,2211.1
Miles Bridges,CHA,2837.1
Ja Morant,MEM,1888.8
Jaylen Brown,BOS,2220.5
Pascal Siakam,TOR,2577.9
Anthony Edwards,MIN,2466.0
LaMelo Ball,CHA,2422.1
Darius Garland,CLE,2430.0
Julius Randle,NYK,2543.9
Russell Westbrook,LAL,2677.9
Dejounte Murray,SAS,2365.9
James Harden,PHI,2419.7
Terry Rozier,CHA,2457.8
Jordan Poole,GSW,2283.3
RJ Barrett,NYK,2417.2
Desmond Bane,MEM,2266.2
Shai Gilgeous-Alexander,OKC,1941.9
CJ McCollum,NOP,2145.1
De'Aaron Fox,SAC,2083.5
Tyler Herro,MIA,2151.0
Khris Middleton,MIL,2141.3
Saddiq Bey,DET,2704.2
Fred VanVleet,TOR,2462.0
Jonas Valanciunas,NOP,2240.1
Tyrese Maxey,PHI,2650.4
Nikola Vucevic,CHI,2417.5
Jalen Brunson,DAL,2524.0
Gary Trent Jr.,TOR,2447.9
Keldon Johnson,SAS,2391.7
Jaren Jackson Jr.,MEM,2126.2
Jordan Clarkson,UTA,2140.9
Buddy Hield,IND,2498.8
Harrison Barnes,SAC,2586.7
Reggie Jackson,LAC,2336.5
Tobias Harris,PHI,2543.2
Andrew Wiggins,GSW,2329.5
Bojan Bogdanovic,UTA,2131.3
Brandon Ingram,NOP,1869.2
Jrue Holiday,MIL,2207.4
Jimmy Butler,MIA,1930.8
Christian Wood,HOU,2093.6
Franz Wagner,ORL,2429.0
Tyrese Haliburton,IND,2694.1
D'Angelo Russell,MIN,2076.6
Domantas Sabonis,SAC,2135.8
Mikal Bridges,PHX,2854.4
Jalen Green,HOU,2137.7
Kelly Oubre Jr.,CHA,1999.2
Scottie Barnes,TOR,2617.3
Kyle Kuzma,WAS,2204.3
Aaron Gordon,DEN,2375.4
Evan Fournier,NYK,2358.0
Cade Cunningham,DET,2088.1
Bam Adebayo,MIA,1825.3
Cole Anthony,ORL,2059.4
Bobby Portis,MIL,2028.3
Malik Monk,LAL,2138.4
Will Barton,DEN,2276.5
Evan Mobley,CLE,2331.0
Kristaps Porzingis,WAS,1480.6
Rudy Gobert,UTA,2120.4
Kentavious Caldwell-Pope,WAS,2328.8
Kevin Love,CLE,1664.9
Deandre Ayton,PHX,1712.6
Derrick White,BOS,2198.8
Anfernee Simons,POR,1681.0
Caris LeVert,CLE,1780.4
Mike Conley,UTA,2058.1
Seth Curry,BKN,2134.3
Chris Paul,PHX,2139.0
Malik Beasley,MIN,1976.3
Bogdan Bogdanovic,ATL,1848.5
Kevin Porter Jr.,HOU,1907.2
Monte Morris,DEN,2238.9
Alec Burks,NYK,2317.7
Montrezl Harrell,CHA,1640.4
Wendell Carter Jr.,ORL,1851.6
Bradley Beal,WAS,1439.0
Anthony Davis,LAL,1404.2
Patty Mills,BKN,2345.7
Carmelo Anthony,LAL,1793.2
Jae'Sean Tate,HOU,2056.4
Spencer Dinwiddie,DAL,1980.5
Jakob Poeltl,SAS,1969.7
Jarrett Allen,CLE,1809.6
Jerami Grant,DET,1499.9
Devonte' Graham,NOP,2161.6
Lauri Markkanen,CLE,1877.6
Kevin Huerter,ATL,2188.5
Immanuel Quickley,NYK,1802.4
Dorian Finney-Smith,DAL,2643.6
Luguentz Dort,OKC,1665.4
John Collins,ATL,1662.6
Devin Vassell,SAS,1936.9
Terance Mann,LAC,2316.8
Dennis Schroder,HOU,1837.5
Duncan Robinson,MIA,2042.8
Davion Mitchell,SAC,2075.8
Marcus Smart,BOS,2295.8
Norman Powell,LAC,1458.2
Lonnie Walker IV,SAS,1612.3
Kyle Lowry,MIA,2133.2
Jusuf Nurkic,POR,1578.5
Luke Kennard,LAC,1919.1
Marcus Morris Sr.,LAC,1564.3
Cameron Johnson,PHX,1730.0
O.G. Anunoby,TOR,1728.3
Clint Capela,ATL,2041.5
Josh Hart,POR,1791.0
Kyrie Irving,BKN,1091.5
De'Anthony Melton,MEM,1656.8
Trey Lyles,SAC,1536.3
Ivica Zubac,LAC,1851.7
Gordon Hayward,CHA,1563.9
Coby White,CHI,1674.9
Jeff Green,DEN,1849.0
Danilo Gallinari,ATL,1672.1
Eric Gordon,HOU,1669.5
Mo Bamba,ORL,1823.7
Chris Boucher,TOR,1690.1
Paul George,LAC,1077.4
Justin Holiday,SAC,2056.8
Darius Bazley,OKC,1923.9
Herbert Jones,NOP,2335.2
Grayson Allen,MIL,1804.8
Max Strus,MIA,1587.1
Chris Duarte,IND,1540.8
Dwight Powell,DAL,1798.2
Cedi Osman,CLE,1461.7
De'Andre Hunter,ATL,1577.2
Al Horford,BOS,2004.8
Georges Niang,PHI,1736.4
Bones Hyland,DEN,1309.9
Kenyon Martin Jr.,HOU,1656.3
Damian Lillard,POR,1056.2
Alperen Sengun,HOU,1489.3
Nickeil Alexander-Walker,UTA,1465.8
Malcolm Brogdon,IND,1206.2
Deni Avdija,WAS,1984.1
JaVale McGee,PHX,1171.7
Ayo Dosunmu,CHI,2109.6
Gary Harris,ORL,1730.2
Daniel Gafford,WAS,1444.0
Josh Giddey,OKC,1700.4
P.J. Washington,CHA,1768.1
Brandon Clarke,MEM,1246.0
Josh Richardson,SAS,1599.7
Precious Achiuwa,TOR,1724.7
Bryn Forbes,DEN,1285.9
Ben McLemore,POR,1284.9
Jaxson Hayes,NOP,1397.5
Jonathan Kuminga,GSW,1184.8
Klay Thompson,GSW,940.9
Garrison Mathews,HOU,1711.9
Obi Toppin,NYK,1229.8
Bruce Brown,BKN,1774.0
Jaden McDaniels,MIN,1802.7
Pat Connaughton,MIL,1690.8
Naz Reid,MIN,1215.3
Hamidou Diallo,DET,1268.8
Corey Kispert,WAS,1801.1
Jae Crowder,PHX,1885.9
Tyus Jones,MEM,1549.4
Terrence Ross,ORL,1448.2
Cameron Payne,PHX,1277.6
Tre Mann,OKC,1366.9
Amir Coffey,LAC,1567.4
Oshae Brissett,IND,1564.0
Mitchell Robinson,NYK,1848.4
LaMarcus Aldridge,BKN,1050.1
Robert Williams III,BOS,1804.3
Chuma Okeke,ORL,1748.8
Robert Covington,LAC,1939.5
Grant Williams,BOS,1875.1
Tim Hardaway Jr.,DAL,1245.0
Talen Horton-Tucker,LAL,1511.0
Gabe Vincent,MIA,1588.9
Dillon Brooks,MEM,885.0
Isaiah Stewart,DET,1815.6
Isaac Okoro,CLE,1980.9
Josh Christopher,HOU,1333.7
Reggie Bullock,DAL,1901.8
Andre Drummond,BKN,1436.8
Doug McDermott,SAS,1223.2
Landry Shamet,PHX,1437.4
Cam Thomas,BKN,1176.1
Royce O'Neale,UTA,2405.5
Jalen Suggs,ORL,1306.7
Moritz Wagner,ORL,959.5
Isaiah Hartenstein,LAC,1215.8
Frank Jackson,DET,1164.0
Caleb Martin,MIA,1372.2
Drew Eubanks,POR,1244.6
Cody Martin,CHA,1865.6
