Player,PTS
Precious Achiuwa,19.2
Steven Adams,12.6
Bam Adebayo,29.3
Santi Aldama,17.5
LaMarcus Aldridge,28.0
Nickeil Alexander-Walker,23.3
Nickeil Alexander-Walker,23.9
Nickeil Alexander-Walker,17.6
Grayson Allen,19.5
Jarrett Allen,25.0
Jose Alvarado,19.5
Justin Anderson,15.9
Justin Anderson,13.8
Justin Anderson,16.2
Kyle Anderson,16.8
Giannis Antetokounmpo,43.6
Thanasis Antetokounmpo,17.4
Carmelo Anthony,24.6
Cole Anthony,24.9
OG Anunoby,23.8
Ryan Arcidiacono,10.5
Trevor Ariza,10.0
D.J. Augustin,15.9
D.J. Augustin,17.0
D.J. Augustin,14.4
Deni Avdija,17.1
Joel Ayayi,4.9
Deandre Ayton,28.0
Udoka Azubuike,20.3
Marvin Bagley III,22.8
Marvin Bagley III,20.4
Marvin Bagley III,26.1
LaMelo Ball,29.9
Lonzo Ball,18.3
Mo Bamba,20.0
Desmond Bane,29.2
Dalano Banton,14.7
Cat Barber,0.0
Harrison Barnes,23.5
Scottie Barnes,21.7
RJ Barrett,29.0
Will Barton,22.5
Paris Bass,41.2
Charles Bassey,20.5
Keita Bates-Diop,16.8
Nicolas Batum,16.5
Kent Bazemore,11.6
Darius Bazley,18.9
Bradley Beal,31.9
Malik Beasley,22.9
Jordan Bell,0.0
DeAndre' Bembry,13.4
DeAndre' Bembry,14.2
DeAndre' Bembry,3.7
Dāvis Bertāns,19.2
Dāvis Bertāns,19.2
Dāvis Bertāns,19.2
Patrick Beverley,17.2
Saddiq Bey,23.8
Khem Birch,12.5
Goga Bitadze,23.4
Bismack Biyombo,20.0
Nemanja Bjelica,18.5
Eric Bledsoe,19.2
Keljin Blevins,13.3
Bogdan Bogdanović,25.3
Bojan Bogdanović,28.9
Bol Bol,20.0
Leandro Bolmaro,9.9
Isaac Bonga,8.7
Devin Booker,37.4
Brandon Boston Jr.,22.1
Chris Boucher,22.3
James Bouknight,22.4
Avery Bradley,13.4
Tony Bradley,14.5
Ignas Brazdeikis,19.0
Mikal Bridges,19.6
Miles Bridges,27.3
Oshae Brissett,19.2
Malcolm Brogdon,27.9
Armoni Brooks,16.4
Armoni Brooks,17.5
Armoni Brooks,11.0
Dillon Brooks,31.9
Bruce Brown,17.7
Charlie Brown Jr.,8.5
Charlie Brown Jr.,6.7
Charlie Brown Jr.,8.6
Chaundee Brown Jr.,14.6
Chaundee Brown Jr.,4.6
Chaundee Brown Jr.,17.2
Greg Brown III,17.2
Jaylen Brown,34.9
Moses Brown,24.8
Moses Brown,24.1
Moses Brown,25.5
Sterling Brown,12.8
Troy Brown Jr.,13.1
Jalen Brunson,25.6
Thomas Bryant,22.6
Shaq Buchanan,9.6
Reggie Bullock,15.4
Trey Burke,24.4
Alec Burks,20.4
Jared Butler,22.1
Jimmy Butler,31.6
Devontae Cacok,18.2
Kentavious Caldwell-Pope,21.6
Facundo Campazzo,13.8
Vlatko Čančar,17.3
Devin Cannady,16.7
Clint Capela,19.7
Vernon Carey Jr.,22.2
Vernon Carey Jr.,22.6
Vernon Carey Jr.,22.0
Jevon Carter,14.8
Jevon Carter,14.5
Jevon Carter,15.2
Wendell Carter Jr.,24.3
Alex Caruso,12.9
Willie Cauley-Stein,9.3
Willie Cauley-Stein,9.7
Willie Cauley-Stein,0.0
Ahmad Caver,98.0
Justin Champagnie,14.4
Zylan Cheatham,0.0
Chris Chiozza,8.8
Marquese Chriss,22.4
Josh Christopher,20.9
Gary Clark,13.2
Brandon Clarke,25.6
Jordan Clarkson,29.2
Nic Claxton,20.4
Amir Coffey,19.4
John Collins,25.9
Zach Collins,20.8
Darren Collison,5.2
Mike Conley,23.7
Pat Connaughton,18.3
Tyler Cook,16.4
Sharife Cooper,8.8
Petr Cornelie,18.1
DeMarcus Cousins,29.1
DeMarcus Cousins,25.8
DeMarcus Cousins,31.4
Robert Covington,15.2
Robert Covington,12.5
Robert Covington,23.0
Torrey Craig,15.7
Torrey Craig,15.6
Torrey Craig,16.0
Jae Crowder,16.1
Jarrett Culver,18.4
Jarron Cumberland,8.1
Cade Cunningham,26.0
Seth Curry,22.3
Seth Curry,21.5
Seth Curry,24.2
Stephen Curry,35.9
Anthony Davis,31.6
Ed Davis,7.0
Terence Davis,27.9
Gabriel Deck,15.7
Dewayne Dedmon,19.8
Sam Dekker,0.0
Javin DeLaurier,0.0
DeMar DeRozan,37.7
Mamadi Diakite,14.5
Cheick Diallo,17.3
Hamidou Diallo,24.5
Gorgui Dieng,20.4
Spencer Dinwiddie,23.1
Spencer Dinwiddie,20.7
Spencer Dinwiddie,28.1
Donte DiVincenzo,18.2
Donte DiVincenzo,17.2
Donte DiVincenzo,18.7
Luka Dončić,40.4
Luguentz Dort,25.7
Ayo Dosunmu,15.7
Damyean Dotson,9.5
Devon Dotson,16.7
Sekou Doumbouya,41.9
Jeff Dowtin,8.5
Jeff Dowtin,10.4
Jeff Dowtin,0.0
Jeff Dowtin,8.2
PJ Dozier,14.0
Goran Dragić,15.4
Goran Dragić,22.2
Goran Dragić,13.9
Andre Drummond,19.9
Andre Drummond,16.5
Andre Drummond,25.6
Chris Duarte,22.9
David Duke Jr.,14.8
Kris Dunn,15.4
Kevin Durant,38.9
Jaime Echenique,0.0
Anthony Edwards,29.6
Carsen Edwards,14.2
Kessler Edwards,13.9
Rob Edwards,13.3
CJ Elleby,14.1
Wayne Ellington,17.0
Joel Embiid,45.1
James Ennis III,25.3
James Ennis III,17.3
James Ennis III,35.0
James Ennis III,14.0
Drew Eubanks,21.2
Drew Eubanks,18.4
Drew Eubanks,23.9
Tacko Fall,10.2
Derrick Favors,15.4
Bruno Fernando,28.0
Bruno Fernando,16.3
Bruno Fernando,34.9
Dorian Finney-Smith,16.8
Malik Fitts,16.5
Malik Fitts,8.5
Malik Fitts,26.6
Malachi Flynn,17.6
Bryn Forbes,25.0
Bryn Forbes,25.8
Bryn Forbes,24.1
Aleem Ford,9.2
Trent Forrest,12.6
Evan Fournier,23.9
De'Aaron Fox,31.6
Melvin Frazier,13.0
Tim Frazier,9.1
Tim Frazier,8.9
Tim Frazier,12.5
Enes Freedom,15.5
Markelle Fultz,26.2
Wenyen Gabriel,18.9
Wenyen Gabriel,0.0
Wenyen Gabriel,14.9
Wenyen Gabriel,19.6
Daniel Gafford,23.2
Danilo Gallinari,22.7
Langston Galloway,6.3
Langston Galloway,10.0
Langston Galloway,2.0
Darius Garland,30.3
Marcus Garrett,5.1
Usman Garuba,9.6
Luka Garza,23.3
Rudy Gay,21.2
Paul George,34.3
Taj Gibson,12.1
Josh Giddey,19.3
Shai Gilgeous-Alexander,34.4
Anthony Gill,19.2
Freddie Gillespie,8.5
Rudy Gobert,23.9
Brandon Goodwin,17.0
Jordan Goodwin,0.0
Aaron Gordon,23.2
Eric Gordon,21.8
Devonte' Graham,20.6
Jerami Grant,29.4
Hassani Gravett,14.1
Danny Green,13.5
Draymond Green,12.7
Jalen Green,25.8
JaMychal Green,19.5
Javonte Green,15.0
Jeff Green,20.5
Josh Green,15.5
Blake Griffin,18.2
