,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,anchor,backdown_punisher,boxout_beast,brick_wall,clutch_shooter,dream_shake,dropstepper,masher,post_move_lockdown,post_playmaker,post_spin_technician,rise_up,vice_grip,aerial_wizard,amped,break_starter,bully,fearless_finisher,middy_magician,pogo_stick,pro_touch,volume_shooter,agent_3,catch_and_shoot,claymore,green_machine,needle_threader,rebound_chaser,acrobat,ankle_breaker,bail_out,blinders,deadeye,dimer,floor_general,guard_up,handles_for_days,hyperdrive,killer_combos,slithery,space_creator,special_delivery,clamp_breaker,giant_slayer,limitless_range,unpluckable,fast_twitch,mismatch_expert,quick_first_step,slippery_off_ball,corner_specialist,glove,interceptor,ankle_braces,challenger,clamps,menace,off_ball_pest,pick_dodger,chase_down_artist,work_horse,comeback_kid,posterizer,limitless_takeoff,rhythm_shooter,weight,height
0,Joel Embiid,2-Way 3-Level Scorer,C,96,88,80,92,61,76,82,98,96,"3,089",83,86,81,82,98,98,69,67,95,68,94,90,76,87,90,80,94,94,96,97,98,55,57,62,58,71,96,64,49,78,64,96,64,95,70,93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,213
1,James Harden,Offensive Threat,SG,89,85,89,76,89,65,56,85,93,"2,989",79,81,85,89,75,98,87,87,71,87,98,97,95,92,35,84,60,74,69,94,98,82,97,86,94,87,62,70,49,52,75,63,82,65,37,75,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,99,196
2,Tyrese Maxey,All-Around Threat,PG,85,89,81,63,83,64,39,98,88,"2,803",87,81,85,87,98,98,89,89,44,80,95,95,77,89,25,55,45,60,47,88,95,84,86,87,86,74,52,79,47,51,83,69,68,65,30,47,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,1.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,90,188
3,Tobias Harris,Playmaking 3-Level Scorer,PF,82,85,77,76,72,58,56,75,84,"2,748",89,85,80,84,80,90,75,59,73,79,95,73,82,80,65,75,70,70,83,73,95,77,79,56,84,62,59,58,36,55,67,66,64,60,41,70,,,,,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,102,201
4,De’Anthony Melton,2-Way Inside-Out Combo Guard,SG,77,81,74,60,77,76,57,70,79,"2,741",79,60,81,74,98,95,76,76,44,75,80,85,83,83,25,70,25,58,48,75,95,82,83,74,85,62,48,81,93,61,82,79,89,75,45,68,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,90,188
5,Matisse Thybulle,Hybrid Defender,SF,77,59,77,46,51,86,40,50,79,"2,411",74,48,74,60,60,40,76,76,59,70,85,90,80,74,35,70,30,30,30,25,70,55,65,69,35,31,60,90,97,77,92,88,97,90,38,42,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,90,196
6,P.J. Tucker,2-Way Stretch Four,PF,77,78,78,54,58,69,60,85,78,"2,567",96,74,85,75,85,55,63,63,82,66,88,90,91,55,50,60,49,48,50,36,81,70,65,44,69,41,77,80,43,45,80,74,75,80,53,66,,,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,1.0,,,,110,196
7,Montrezl Harrell,Inside the Arc Scorer,C,76,60,78,81,42,55,70,25,79,"2,440",97,79,50,72,30,30,62,57,94,75,85,90,83,89,85,80,75,70,77,79,90,35,35,32,55,54,71,47,36,62,52,64,54,50,70,70,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,108,201
8,Shake Milton,Interior Finisher,SG,74,82,73,57,77,51,45,70,76,"2,488",84,69,75,88,98,75,77,79,38,77,80,80,83,84,30,60,46,44,40,63,89,79,82,77,80,66,30,65,40,52,74,58,50,40,39,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,196
9,Charles Bassey,Glass Cleaner,C,73,59,78,60,42,63,88,25,76,"2,368",74,69,52,76,50,35,77,77,69,82,80,80,80,70,75,75,50,50,50,40,70,35,42,54,48,32,69,57,43,89,64,68,50,60,88,87,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,206
