,name,archetype,position,overall,outside_scoring,athleticism,inside_scoring,playmaking,defending,rebounding,intangibles,potential,total_attributes,close_shot,mid_range_shot,three_point_shot,free_throw,shot_iq,offensive_consistency,speed,acceleration,strength,vertical,stamina,hustle,overall_durability,layup,standing_dunk,driving_dunk,post_hook,post_fade,post_control,draw_foul,hands,pass_accuracy,ball_handle,speed_with_ball,pass_iq,pass_vision,interior_defense,perimeter_defense,steal,block,lateral_quickness,help_defense_iq,pass_perception,defensive_consistency,offensive_rebound,defensive_rebound,weight,height
0,Julius Erving,2-Way Slashing Playmaker,SF,95,87,93,88,81,78,78,98,97,"3,264",95,79,69,84,98,98,90,90,85,98,98,98,95,98,85,98,79,79,79,92,95,79,85,83,84,74,74,85,75,60,84,84,84,80,77,79,90,198
1,George McGinnis,Glass-Cleaning Lockdown,PF,86,75,82,83,56,67,78,98,90,"2,845",82,70,65,71,98,65,61,76,98,60,98,90,90,85,75,75,81,78,85,84,98,58,61,38,58,65,85,66,73,37,66,80,65,65,78,77,106,203
2,Doug Collins,2-Way Threat,SG,85,90,77,57,79,72,39,98,85,"2,764",88,92,84,81,98,95,77,77,60,65,92,88,77,86,42,25,66,36,33,82,85,84,86,72,90,64,42,84,75,37,86,85,84,85,41,37,81,198
3,Henry Bibby,Shot Creator,PG,81,82,71,51,76,62,40,95,81,"2,529",79,87,80,78,85,80,76,74,40,55,91,85,79,85,25,25,36,55,25,68,90,75,78,77,79,71,30,77,62,27,86,74,59,80,37,43,83,185
4,World B. Free,Slasher,PG,80,83,82,64,73,63,44,80,86,"2,698",87,79,78,73,90,90,82,82,60,95,85,85,82,95,25,88,28,70,30,83,90,69,81,82,65,70,35,63,61,50,77,65,70,80,48,39,83,188
5,Steve Mix,Inside the Arc Scorer,PF,79,80,68,75,46,56,82,70,79,"2,541",84,85,73,82,75,80,52,52,62,52,80,90,85,85,60,65,75,76,76,82,80,43,46,44,48,48,75,42,67,27,42,72,58,65,82,82,97,201
6,Darryl Dawkins,Interior Finisher,C,75,54,76,75,38,54,73,60,87,"2,369",67,55,25,70,50,55,72,72,80,90,75,70,75,64,98,85,70,65,64,70,80,34,45,47,30,33,68,44,57,76,45,52,48,45,60,86,113,211
7,Joe Bryant,Rebounding Wing,SF,72,66,67,67,55,56,64,72,81,"2,402",74,64,58,77,60,60,61,61,48,66,81,70,82,80,69,77,53,59,56,69,75,58,66,40,56,53,50,58,65,50,66,54,50,55,67,61,83,206
8,Mike Dunleavy,Mid-Range Specialist,PG,72,73,70,43,75,60,37,72,72,"2,341",73,83,75,72,65,70,75,75,40,58,86,82,74,60,25,25,25,29,25,71,82,75,75,75,75,77,25,66,90,35,79,60,56,65,29,45,81,191
9,Harvey Catchings,Glass Cleaner,C,71,47,69,56,30,62,82,69,75,"2,165",51,38,25,61,45,60,55,42,55,81,80,90,80,45,80,58,58,40,57,52,60,32,33,25,31,30,75,45,59,82,45,70,52,65,91,73,98,206
10,Allen Iverson,2-Way Playshot,SG,94,87,92,65,91,76,52,98,97,"3,048",78,87,79,81,98,98,97,99,69,97,98,98,85,98,25,65,48,60,39,88,98,90,97,96,90,80,35,88,95,39,91,87,96,80,49,55,74,183
11,Dikembe Mutombo,Defensive Anchor,C,83,54,65,64,49,70,89,98,91,"2,459",51,33,25,72,98,45,60,60,75,40,72,65,82,32,95,40,68,40,62,75,98,45,29,44,78,50,95,28,55,90,28,92,90,80,86,92,117,218
12,Aaron McKie,Playmaking Shot Creator,PG,81,84,76,64,79,68,45,95,81,"2,743",82,89,79,76,90,85,79,79,60,62,87,80,83,84,55,62,37,57,55,65,95,79,83,79,79,73,66,75,71,30,82,83,66,70,33,57,94,196
13,Eric Snow,2-Way Diming Finisher,PG,80,71,71,60,80,74,42,76,80,"2,635",81,75,67,80,80,45,80,80,54,57,85,60,83,85,25,25,55,70,70,53,93,82,78,80,80,79,52,89,61,40,89,85,88,90,35,48,86,191
14,Tyrone Hill,Defensive Anchor,PF,76,62,65,64,42,61,78,98,76,"2,372",64,57,25,63,98,65,45,37,80,49,82,85,77,51,85,58,68,50,66,70,66,80,48,25,31,28,84,42,56,45,42,75,80,65,78,78,113,206
15,George Lynch,Scrappy Wing,SF,75,66,76,62,51,65,76,98,77,"2,523",69,64,60,71,85,45,69,69,73,75,79,85,81,61,60,66,47,62,56,66,75,44,64,66,47,36,68,70,65,45,76,69,64,65,75,76,106,203
16,Speedy Claxton,Floor General,PG,74,68,75,43,81,62,49,85,79,"2,442",67,71,41,76,80,75,90,90,35,84,85,63,81,75,25,25,27,25,25,56,85,80,80,90,80,73,25,69,76,50,79,65,67,65,53,45,75,180
17,Kevin Ollie,Diming Outside Scorer,PG,73,74,74,45,78,60,41,95,73,"2,445",62,77,76,76,85,70,77,77,49,65,88,85,80,68,25,25,42,39,31,49,80,81,78,76,82,71,36,74,59,30,76,70,72,65,32,49,NaN,193
18,Rodney Buford,Prospect,SF,71,67,75,49,56,57,53,95,77,"2,331",70,60,75,83,66,50,64,62,64,68,95,89,85,61,25,60,39,49,44,42,68,50,70,62,47,51,43,64,42,40,71,70,55,70,51,54,NaN,196
19,Jumaine Jones,Scrappy Wing,SF,71,62,72,59,44,60,66,98,71,"2,352",69,63,60,75,62,45,72,72,55,65,75,77,85,62,55,66,44,61,62,53,70,33,64,59,33,32,60,62,63,52,69,61,60,55,66,66,98,203
20,Pepe Sanchez,Tempo-Pushing Guard,PG,70,71,74,49,78,53,41,98,76,"2,397",70,66,52,75,95,65,78,78,52,65,88,75,80,71,25,50,35,35,35,55,85,79,79,78,79,76,37,60,70,25,72,57,50,50,40,41,NaN,193
21,Matt Geiger,Paint Protector,C,69,61,50,60,32,53,72,98,70,"2,090",66,66,50,68,60,55,26,25,64,38,66,49,81,41,69,42,67,67,63,67,65,32,43,25,32,29,68,32,59,51,32,58,68,55,73,70,112,216
22,Roshown McLeod,Perimeter Defender,SF,68,64,79,50,53,55,56,70,80,"2,310",61,59,54,88,82,40,69,66,74,74,98,98,77,51,35,60,42,53,48,39,74,49,68,64,50,35,44,68,41,39,68,70,60,50,55,57,NaN,203
23,Todd MacCulloch,Glass Cleaner,C,68,51,51,59,29,48,79,85,69,"1,976",59,63,25,63,50,45,30,30,75,30,62,55,77,28,69,40,75,65,62,69,65,32,32,25,30,28,63,25,55,62,25,57,44,50,86,71,126,213
24,Raja Bell,3PT Specialist,SG,66,64,75,50,49,52,30,64,75,"2,170",62,74,82,75,46,47,76,70,42,75,86,95,82,76,45,66,25,45,45,30,70,40,64,76,40,25,55,56,63,25,56,56,55,47,25,34,NaN,198
25,Kareem Abdul-Jabbar,2-Way Inside-the-Arc Scorer,C,98,80,83,90,53,75,96,90,98,"3,015",97,88,30,69,98,99,78,77,83,68,95,95,82,84,95,65,99,94,98,84,98,58,48,42,70,46,96,37,56,88,37,95,92,95,95,96,101,218
26,Oscar Robertson,2-Way Threat,PG,93,90,81,72,92,74,63,98,98,"3,054",89,87,80,85,98,98,74,73,75,86,90,83,88,98,25,50,70,82,85,73,90,98,89,79,98,97,55,86,72,45,85,84,75,90,63,63,95,196
27,Bob Dandridge,2-Way Mid-Range Scorer,SF,85,84,82,65,72,77,71,85,89,"2,888",86,86,77,70,98,85,81,81,60,85,88,95,85,83,46,60,40,80,55,72,83,70,73,78,75,64,60,87,70,55,87,88,84,85,72,70,88,198
28,Lucius Allen,Playmaker,PG,77,76,75,49,86,60,48,85,82,"2,535",84,82,75,70,62,80,85,85,50,60,85,75,82,85,25,50,25,44,25,67,70,87,86,85,88,84,33,62,85,32,76,60,48,80,52,44,79,188
29,Greg Smith,Paint Defender,PF,75,58,73,64,63,63,75,98,76,"2,509",65,50,35,66,65,65,69,48,63,71,82,98,80,65,60,75,60,60,60,66,66,68,54,67,64,64,82,49,68,44,49,70,68,70,79,70,88,196
30,Jon McGlocklin,Sharpshooter,SG,74,87,63,44,64,55,37,98,85,"2,337",82,89,87,86,98,80,60,48,53,30,83,85,85,57,25,47,25,51,25,53,72,65,67,62,64,63,34,65,50,25,68,63,58,75,39,35,92,196
31,Dick Cunningham,Glass Cleaner,C,72,53,70,57,41,55,79,98,75,"2,235",48,35,25,66,80,65,62,62,74,58,65,90,77,25,66,40,65,64,65,66,63,40,26,49,49,42,73,25,55,70,25,60,65,65,78,79,110,208
32,Sidney Moncrief,2-Way Finisher,SG,91,84,81,71,78,84,60,98,93,"3,009",84,81,69,82,98,90,74,73,65,81,98,97,82,83,25,85,59,69,59,89,98,79,78,77,79,77,63,98,67,55,97,98,95,95,70,49,81,191
33,Terry Cummings,Paint Beast,PF,88,78,80,85,61,72,82,95,89,"2,936",88,75,52,74,84,95,67,67,87,87,86,76,87,81,82,80,91,91,90,82,85,55,68,56,72,52,80,61,67,72,61,77,75,85,79,85,99,206
34,Paul Pressey,2-Way Finisher,SG,86,80,80,74,75,78,59,98,88,"2,934",77,74,67,75,95,90,62,57,62,92,98,98,90,85,62,90,49,66,60,84,98,79,78,67,79,72,57,92,69,59,91,81,80,95,59,59,83,196
35,Alton Lister,Glass-Cleaning Lockdown,C,79,60,58,69,36,64,85,98,80,"2,361",79,35,26,58,98,65,26,25,70,52,75,68,90,74,90,75,69,38,69,79,58,45,34,25,40,35,84,30,58,83,30,80,65,85,84,86,108,213
36,Ricky Pierce,Mid-Range Specialist,SF,76,75,72,57,64,57,51,90,83,"2,464",84,84,72,82,64,65,67,61,75,75,84,80,65,79,25,58,25,59,59,73,80,66,72,63,60,60,55,60,64,32,68,58,55,60,56,46,92,193
37,Mike Dunleavy,Mid-Range Facilitator,PG,74,81,67,41,77,61,37,75,76,"2,385",78,84,78,86,80,80,67,63,44,54,86,82,75,58,25,25,25,29,25,57,82,84,77,71,82,73,25,75,63,35,84,75,59,75,32,41,81,191
38,Kevin Grevey,Shooter,SF,73,77,77,60,59,56,47,45,81,"2,441",70,84,77,85,75,70,68,64,66,77,85,84,92,74,45,65,52,55,54,52,85,58,74,65,57,40,49,68,65,35,68,53,60,50,48,46,NaN,196
39,Randy Breuer,Glass Cleaner,C,73,62,49,60,34,58,81,98,80,"2,169",65,60,34,70,88,55,30,30,50,30,66,60,77,25,80,40,69,55,69,80,64,44,26,25,46,29,75,25,57,82,25,75,54,70,78,83,104,221
40,Craig Hodges,Shooter,PG,73,77,68,40,74,52,39,84,73,"2,281",71,77,84,81,78,70,73,72,30,60,85,77,79,68,25,25,25,29,25,50,75,75,79,76,72,67,31,64,64,25,78,61,45,50,41,37,86,188
41,Charles Davis,Mid-Range Shooter,SF,72,75,62,57,46,58,63,95,73,"2,325",74,79,62,82,85,65,48,44,73,62,70,64,75,66,50,65,40,55,55,61,62,45,50,40,58,38,60,59,61,35,67,60,62,60,66,59,97,201
42,Kenny Fields,Perimeter Defender,SF,69,62,74,47,58,55,61,98,78,"2,289",65,67,45,75,77,40,71,69,42,79,92,81,81,64,25,40,35,51,44,50,70,55,60,69,46,60,49,71,40,47,72,49,56,55,59,62,NaN,196
43,Paul Mokeski,Paint Defender,C,66,59,50,46,39,52,71,77,67,"1,973",60,58,43,69,65,60,25,25,72,28,60,65,78,27,35,40,40,55,59,60,50,50,31,25,55,35,72,25,56,52,25,70,58,60,62,79,113,213
44,Michael Jordan,2-Way Slasher,SG,92,83,87,82,79,83,52,80,99,"3,110",91,75,60,84,90,97,92,93,54,98,99,86,88,97,75,98,40,90,68,93,98,78,88,86,74,70,61,89,92,67,89,90,88,90,52,51,88,198
45,Charles Oakley,Glass-Cleaning Lockdown,PF,83,66,79,63,52,67,94,98,87,"2,620",64,55,48,66,98,67,79,79,87,58,75,86,89,48,69,65,45,45,55,75,98,55,29,74,60,41,89,36,63,50,36,89,80,95,92,95,101,206
46,George Gervin,Slasher,SF,82,82,76,76,65,65,45,98,96,"2,755",83,79,65,87,98,80,74,74,45,90,90,80,79,97,60,86,51,66,81,75,88,64,75,70,68,49,50,76,58,40,76,78,70,70,45,44,83,201
47,Sidney Green,Glass Cleaner,PF,79,68,74,72,42,61,84,98,85,"2,548",75,72,31,78,70,80,66,66,79,75,88,66,79,49,85,67,76,74,76,74,75,49,32,49,45,36,79,43,61,47,43,75,68,70,84,83,99,206
48,Gene Banks,Position: SF,"Height: 6&apos7"" (201cm)",77,8,--,10,--,--,--,--,--,128,--,--,48,--,--,--,--,--,--,--,--,--,--,--,--,80,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,NaN,NaN
49,Kyle Macy,3PT Specialist,PG,72,75,68,38,75,58,38,71,75,"2,291",72,74,85,81,75,65,73,73,36,57,85,70,80,60,25,25,25,29,25,41,73,79,77,72,77,72,25,70,62,32,81,74,60,60,34,41,79,191
50,John Paxson,Mid-Range Playmaker,PG,70,74,73,41,76,55,35,70,76,"2,317",66,80,75,80,78,66,67,63,55,60,90,91,87,60,25,25,25,29,25,53,82,79,78,75,75,71,35,60,63,27,75,62,54,65,31,39,83,188
51,Rod Higgins,Prospect,SF,70,71,67,61,48,51,53,98,74,"2,310",73,68,66,70,98,50,67,52,62,70,73,65,79,68,65,75,40,60,52,61,66,46,58,58,42,38,43,50,60,58,60,48,42,50,48,57,90,201
52,Mike Holton,Perimeter Lockdown,PG,70,61,75,42,71,67,38,60,74,"2,323",61,62,39,63,84,55,75,72,40,72,96,89,82,66,25,25,27,40,25,54,74,63,71,73,77,69,45,84,55,30,70,84,82,85,36,39,NaN,193
53,Dave Corzine,Paint Defender,C,69,65,50,59,42,53,72,68,75,"2,139",67,65,51,74,69,65,25,25,70,30,70,50,78,42,64,42,63,63,59,68,74,55,28,25,58,45,70,25,56,57,25,70,59,65,66,78,113,211
